company_id,company_name,sector,pe,pb,ev_ebitda,5yr_median_PE,FCF_yield_pct,PE_vs_sector_median_pct,flag
NHPC,"NHPC Ltd
",Energy,71.17,13.74,18.26,59.83,0.05573417784977254,158.4548591784482,Caution
NTPC,NTPC Ltd,Energy,30.8,5.24,37.12,44.12,0.9521678733206076,68.57397306022487,Discount
ONGC,Oil & Natural Gas Corpn Ltd,Energy,18.15,10.36,11.72,44.31,10.781545408672736,40.40966269620394,Discount
PIDILITIND,Pidilite Industries Ltd,Materials,36.12,12.3,5.36,37.114999999999995,0.588510137595519,64.94066882416398,Discount
PNB,Punjab National Bank,Financials,19.29,10.91,23.64,20.58,-1.6126067787208855,56.3376168224299,Discount
SBILIFE,SBI Life Insurance Company Ltd,Financials,69.98,9.48,31.04,54.025,-0.23688132542403253,204.3808411214953,Caution
SBIN,State Bank of India,Financials,54.93,2.72,21.53,50.985,0.7563625783740417,160.42640186915887,Caution
SHREECEM,Shree Cement Ltd,Materials,25.87,1.21,26.58,33.97,0.06115348347250073,46.51204602660914,Discount
SHRIRAMFIN,"Shriram Finance Ltd
",Financials,68.53,7.91,28.82,47.260000000000005,-3.608906905151208,200.14602803738316,Caution
TATAMOTORS,Tata Motors Ltd,Consumer Discretionary,67.07,0.93,15.35,31.715000000000003,3.000651602734764,176.47677937113536,Caution
TATAPOWER,"Tata Power Company Ltd
",Energy,14.5,3.48,12.02,23.509999999999998,0.2166615750083587,32.28320160302795,Discount
TITAN,"Titan Company Ltd
",Consumer Discretionary,10.13,10.51,21.0,27.58,0.0839572651499547,26.654387580581503,Discount
TRENT,Trent Ltd,Consumer Discretionary,8.65,11.82,34.65,67.02,0.14720244295143942,22.76016313642942,Discount
